Port_Label,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value
"Colombia, Leticia",12.2,12.2,12.2,12.2
"Colombia, San Andres",8.45,8.45,8.45,8.45
"Colombia, Santa Marta",124.24,116.87,110.55,110.55
"Colombia, Tolu",12.2,12.2,12.2,12.2
"Colombia, Turbo",76.38,76.61,74.03,73.8
"Comoros, Moroni",20.48,22.05,16.06,16.06
"Comoros, Mutsamudu",25.72,25.73,25.73,25.73
"Congo, Pointe Noire",201.19,206.8,190.45,192.62
"Cook Islands, Aitutaki",11.9,11.96,11.96,11.96
"Cook Islands, Rarotonga",16.57,16.63,16.63,16.63
"Costa Rica, Caldera",73.31,70.26,70.74,71.05
"Costa Rica, Limon",82.74,82.77,84.26,85.33
"Costa Rica, Moin",127.69,157.16,147.15,151.1
"Cote d'Ivoire, Abidjan",226.57,234.83,226.59,232.29
"Cote d'Ivoire, San Pedro (CI)",49.29,52.66,50.92,35.72
"Croatia, Ploce",22.41,21.24,21.24,21.24
"Croatia, Rijeka",128.62,127.01,126.58,124.2
"Cuba, Mariel",50.99,51.03,51.67,52.23
"Cuba, Moa",12.94,13.32,13.32,13.32
"Cuba, Santiago",11.99,12.01,12.01,12.01
"Curacao, Willemstad",46.71,64.55,60.68,60.07
"Cyprus, Limassol",124.31,126.93,129.93,120.13
"Dem. Rep. of the Congo, Banana",15.06,15.06,15.06,15.68
"Dem. Rep. of the Congo, Matadi",47.27,45.61,39.83,36.71
"Denmark, Aalborg",28.93,28.82,28.82,28.93
"Denmark, Aarhus",152.9,153.06,152.63,146.48
"Denmark, Copenhagen",39.27,39.59,50.61,37.77
"Denmark, Fredericia",48.28,51.05,48.45,51.11
"Denmark, Grenaa",12.11,12.11,12.11,12.11
"Denmark, Hirtshals",8.62,8.62,8.62,8.62
"Denmark, Hundested",12.11,12.11,12.11,12.11
"Denmark, Kalundborg",28.23,24.76,29.65,11.8
"Djibouti, Djibouti",152.37,156.41,168.46,167.19
"Dominica, Roseau",43.02,43.09,43.09,43.09
"Dominican Republic, Caucedo",246.72,235.3,241.64,221.96
"Dominican Republic, Manzanillo (DO)",14.92,14.93,14.93,14.93
"Dominican Republic, Puerto Plata",21.04,21.05,27.55,27.55
"Dominican Republic, Rio Haina",117.33,118.54,118.68,117.29
"Ecuador, Guayaquil",224.88,221.3,219.37,217.56
"Ecuador, Posorja",139.63,140.66,140.53,140.43
"Ecuador, Puerto Bolivar (EC)",110.77,98.41,89.9,85.42
"Egypt, Abu Qir",19.71,20.16,20.16,
"Egypt, Adabiya",15.65,15.68,15.68,15.68
"Egypt, Alexandria",343.4,338.7,316.87,329.09
"Egypt, Damietta",252.28,220.66,195.69,217.75
"Egypt, El Dekheila",126.69,135.3,126.13,104.15
"Egypt, El Sokhna",105.52,125.12,140.6,137.06
"Egypt, Port Said",273.05,287.61,289.94,317.39
"El Salvador, Acajutla",56.82,52.94,48.4,48.63
"Equatorial Guinea, Bata",50.21,49.68,49.64,49
