objectid,iso3cd,romnam,maplab,contcd,stscod,typ005,typ025,del025,isoclr,globalid,st_area_sh,st_length_
832,OMN,Oman,OMAN,ASI,1,2,2,0,OMN,{D45BB2EC-73F9-47A9-902B-8921FB87DC89},26.7309653837,38.3900136425
833,PAK,Pakistan,PAKISTAN,ASI,1,2,2,0,PAK,{FE1AAA73-32AB-4152-B8A7-FCFC8891EF10},73.8343361859,94.9395317427
834,PAN,Panama,PANAMA,AME,1,2,2,0,PAN,{1470107F-06FD-4BA8-9EED-CDF6169FE3C3},6.12098493498,51.58587044
835,PCN,Pitcairn,Pitcairn *,OCE,3,1,1,0,GBR,{2196815E-C2ED-47F2-97BE-B9CC1D08B4AD},0.00474278213447,0.494734576046
836,PER,Peru,PERU,AME,1,2,2,0,PER,{877E83A7-169A-45F0-840E-15EA6B46B2A0},106.661766714,89.6291902069
837,PHL,Philippines,PHILIPPINES,ASI,1,1,1,0,PHL,{5D3F48DA-CD6A-4D20-958A-581CCC2D223C},24.53760778,270.750476434
858,SJM,Svalbard and Jan Mayen Islands,Svalbard & Jan Mayen Is. (Norw.),EUR,4,2,1,0,NOR,{53C45970-33A3-424A-84C7-EDE071CB181B},25.8002572624,190.019805891
859,SLB,Solomon Islands,SOLOMON ISLANDS,OCE,1,1,1,0,SLB,{CD075628-EA3B-4A88-912D-A439865811AB},2.36158003935,66.6702899325
860,SLE,Sierra Leone,SIERRA LEONE,AFR,1,2,2,0,SLE,{A4298A97-C8D2-4A27-A0F8-FEB2A785AF8F},5.95531279297,19.6990658167
861,SLV,El Salvador,EL SALVADOR,AME,1,2,2,0,SLV,{1A4D76EA-8245-47BE-8231-BD8FEB58B6A5},1.72916887504,9.79302053088
838,PLW,Palau,PALAU,OCE,1,1,1,0,PLW,{B5A7AB6B-9F4C-41EF-9EF2-26AE6DB6BA0D},0.0376611254636,2.99023625244
839,PNG,Papua New Guinea,PAPUA NEW GUINEA,OCE,1,2,2,0,PNG,{C9298C05-507A-4AEA-938C-2B2C06AA7464},37.9008869491,178.384473579
840,POL,Poland,POLAND,EUR,1,0,0,0,POL,{498085C8-AAC4-4C89-907C-DA60B1D3B2C7},40.9443967736,46.2470852703
841,PRI,Puerto Rico,Puerto Rico (USA),AME,4,1,1,0,USA,{D41C6D51-9267-4278-8887-FDCC9094833F},0.771304755242,6.86180852409
842,PRK,Democratic People's Republic of Korea,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,ASI,1,2,2,0,PRK,{93406B60-437D-403B-A4B3-188156C12652},12.9506423093,46.2213219499
843,PRT,Portugal,PORTUGAL,EUR,1,1,1,0,PRT,{F7CC181A-F679-45C7-847E-2960F500F203},9.63490737958,37.6212879903
844,PRY,Paraguay,PARAGUAY,AME,1,0,0,0,PRY,{FD4BA84A-CA78-438D-82F3-C1956BF82504},35.2458092894,37.355895901
845,PSE,Gaza,GAZA,ASI,2,0,0,0,PSE,{FC9A9586-93D2-41D8-9594-BB7D063A8C1E},0.585767122186,5.41200047904
846,PYF,French Polynesia,French Polynesia *,OCE,3,1,0,0,FRA,{848B7F89-A3EE-4AFC-8988-DB29C39BD5A8},0.315781872293,37.0176075313
847,QAT,Qatar,QATAR,ASI,1,2,2,0,QAT,{C6DCDE67-04F6-4D0C-8E07-D17117825AB6},1.0469206587,9.04496835638
862,SMR,San Marino,SAN MARINO,EUR,1,0,0,0,SMR,{C0389EB2-17B4-41B8-894C-AAB529609C58},0.00683099154234,0.390166761732
855,SGP,Singapore,SINGAPORE,ASI,1,1,1,0,SGP,{64BFE66C-D7CB-45A1-A74E-6E9F5734E665},0.0482709362111,2.03842433165
856,SGS,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Is.,AME,4,1,1,0,GBR,{3E1B06D2-081A-4DB0-A507-F5E8B62A4B77},0.540472572364,15.2251518433
857,SHN,Saint Helena,Saint Helena *,AFR,3,1,1,0,GBR,{9FD0D2B5-3D9F-4398-91E3-41A74EBFDCC7},0.0371838320762,1.90113502045
864,SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon (Fr.),AME,4,1,1,0,FRA,{F5F3821B-FB94-432A-870B-400C571341E3},0.0269381415618,1.72568201833
865,SRB,Serbia,SERBIA,EUR,1,0,0,0,SRB,{6D7BF919-9F8E-410A-B485-B874206633BE},9.93272093969,24.3713930232
866,SSD,South Sudan,SOUTH SUDAN,AFR,1,0,0,0,SSD,{A5C08137-DAC2-4D2D-9EE7-6631C7510F59},51.8512320641,46.4091108211
867,STP,Sao Tome and Principe,SAO TOME AND PRINCIPE,AFR,1,1,1,0,STP,{E05BBC16-C1E2-4F5E-AC11-7763455F149B},0.0819441933089,2.03983243612
868,SUR,Suriname,SURINAME,AME,1,2,0,0,SUR,{80621D76-10F8-4854-AE35-2E7804B8CA04},11.8003815554,19.5358395898
869,SVK,Slovakia,SLOVAKIA,EUR,1,0,0,0,SVK,{06CCC692-D471-43AE-B068-ECF77F99C958},5.99025097947,17.9255165021
870,SVN,Slovenia,SLOVENIA,EUR,1,0,0,0,SVN,{93AEF830-422D-4AD5-A5AA-A05E03D87A33},2.35919015929,13.4609747218
871,SWE,Sweden,SWEDEN,EUR,1,2,2,0,SWE,{BC0F5256-EBBA-48BA-B391-C68C9D846EA5},79.0979201645,192.60913666
900,VGB,British Virgin Islands,British Virgin Islands *,AME,3,1,1,0,GBR,{270D2E51-B3E4-4B50-9C5F-0B5BBE3A63D8},0.0145291086921,2.31943051748
901,VIR,United States Virgin Islands,United States Virgin Islands *,,3,1,1,0,USA,{E0A9CD48-846D-40EA-9709-E34E4C11A0CA},0.0303573362979,2.99108444074
902,VNM,Viet Nam,VIET NAM,ASI,1,2,2,0,VNM,{55AF2633-202B-4CB0-B09A-A126310C8C44},27.833741494,92.8429683115
872,SWZ,Eswatini,ESWATINI,AFR,1,0,0,0,SWZ,{8DF1EBF8-89D4-488E-B06B-5D36DCBC24F5},1.57350401721,5.19384907465
873,SXM,Sint Maarten,Sint Maarten (Neth.),EUR,4,2,0,0,NLD,{DCD563F6-8665-4848-BD4D-D6A7717A256F},0.00325485629139,0.342461766974
874,SYC,Seychelles,SEYCHELLES,AFR,1,1,1,0,SYC,{A6F71340-2EF6-4B10-9FFF-B7B7A395DDA8},0.0389439194334,5.44540659576
875,SYR,Syrian Arab Republic,SYRIAN ARAB REPUBLIC,ASI,1,0,0,0,SYR,{88C5F854-EAE6-42F9-B028-BADD23441655},18.5204073901,25.4039030496
903,VUT,Vanuatu,VANUATU,OCE,1,1,1,0,VUT,{5FB03650-E38B-47DC-807D-B53F034AA830},1.03378260109,27.7514606212
904,WLF,,,OCE,4,1,1,0,FRA,{093B8D04-7C4F-448D-A1EB-1FA7EDC8AB21},0.0146333970103,1.01872214279
876,TCA,Turks and Caicos Islands,Turks and Caicos Islands *,AME,3,1,1,0,GBR,{AAE40E32-5587-45BC-B6EE-33A3B0547010},0.0476991820224,5.63953597805
877,TCD,Chad,CHAD,AFR,1,0,0,0,TCD,{873F3539-16E2-4E54-98F1-4361244D159B},107.09110878,56.2190227109
878,TGO,Togo,TOGO,AFR,1,0,0,0,TGO,{DA80AF73-7CB8-4F20-8C4B-367755B97A2A},4.65542269506,16.5673833657
879,THA,Thailand,THAILAND,ASI,1,2,2,0,THA,{72BCCE5D-0523-437F-B6C6-A58449A5E25A},43.4032453535,95.2423175785
880,TJK,Tajikistan,TAJIKISTAN,ASI,1,0,0,0,TJK,{5EB8E523-6B1F-4C98-B78C-16F73BC63AC9},14.6040501545,42.8155095086
881,TKL,Tokelau,Tokelau *,OCE,3,1,1,0,NZL,{FA796C36-08DB-454A-87E7-79572AFBE9E3},0.0131857256765,1.23047812087
882,TKM,Turkmenistan,TURKMENISTAN,ASI,1,0,0,0,TKM,{3D2D4F5C-1CD1-4A86-BB63-CB44750AD9ED},57.9230950872,49.8860732482
883,TLS,Timor-Leste,TIMOR-LESTE,ASI,1,2,2,0,TLS,{23194FFC-21B8-480D-B2DE-5D0D3AAB048D},1.22375593566,9.25517495115
884,TON,Tonga,TONGA,OCE,1,1,1,0,TON,{17839D30-3E0D-41D5-B1D9-D72247869816},0.062290608214,7.78249485142
885,TTO,Trinidad and Tobago,TRINIDAD AND TOBAGO,AME,1,1,1,0,TTO,{3A125EF3-C42E-4866-8306-756A6CFD560A},0.42786492797,5.15463725138
886,TUN,Tunisia,TUNISIA,AFR,1,2,2,0,TUN,{16E87F0E-4FEB-4D8C-990C-E155BEAF2B01},15.1664737744,31.4443532312
887,TUR,Türkiye,TÜRKİYE,ASI,1,2,2,0,TUR,{A5EC0EF3-0336-4143-8D20-5CFE7230B1D1},81.2097671926,103.018283998
888,TUV,Tuvalu,TUVALU,OCE,1,1,1,0,TUV,{C86CEFAB-E5FB-4140-937B-C483B9EBCEAB},0.00245698116684,1.07071024881
889,TWN,Taiwan,Taiwan,ASI,5,2,1,0,CHN,{1608987C-BD57-4768-8A71-01FAAA4084B2},3.19982096796,13.7517020885
890,TZA,United Republic of Tanzania,UNITED REPUBLIC OF TANZANIA,AFR,1,2,2,0,TZA,{B04BB77E-B9CB-4B10-9F24-B901EBC9EE9D},76.9236227071,62.5659629876
891,UGA,Uganda,UGANDA,AFR,1,0,0,0,UGA,{DEB014FC-7FB3-4E02-9723-0D6BC8BF930C},19.6295940528,23.97399288
892,UKR,Ukraine,UKRAINE,EUR,1,0,0,0,UKR,{D24700DB-21F3-48EF-8008-D65E3022E3AB},73.5514137736,111.400120835
915,xSR,,,ASI,99,1,1,1,xSR,{69847734-946D-48C7-AC26-818A3E2ADE35},0.000742467765297,0.248769326936
893,UMI,,,OCE,4,1,0,0,USA,{E7F15F04-4E3C-4E72-97AC-5FF6DC88409D},0.0301895888736,3.59450176251
894,URY,Uruguay,URUGUAY,AME,1,2,2,0,URY,{B8CA70B9-1D70-4FB8-8E4F-AB4FED78FEA5},17.1535844023,22.9935891557
895,USA,United States of America,Hawaii (USA),AME,1,2,2,0,USA,{EEC1243E-A0A3-4FAD-940B-32246425B589},1121.07978457,951.579026708
896,UZB,Uzbekistan,UZBEKISTAN,ASI,1,0,0,0,UZB,{03DBAD2B-633D-460C-96E3-387DFD15091F},48.6392413144,73.0385075496
897,VAT,Holy See,HOLY SEE,EUR,1,2,0,0,VAT,{7DFA2C5C-6F05-4027-BB00-DCEC7E101C18},0.000060092231,0.0317324850273
898,VCT,Saint Vincent and the Grenadines,SAINT VINCENT AND THE GRENADINES,AME,1,1,1,0,VCT,{0971D5ED-7D3E-4981-AE2F-609148D709B4},0.0341295643642,1.66709442034
899,VEN,Venezuela,VENEZUELA,AME,1,1,0,0,VEN,{0598C8E6-FB60-4B1B-AD7A-CB5E1C2D4919},74.7002501198,102.57743165
905,WSM,Samoa,SAMOA,OCE,1,1,1,0,WSM,{AEEF24E2-C1FE-4F3F-9669-1BA4BAD7C8AF},0.240451208091,3.79340141257
906,xAB,Abyei,Abyei,AFR,99,0,0,0,xAB,{E15C4414-C71E-44E7-86E5-0F4CBFD9F48A},0.864403817373,3.68668305085
907,xAC,Aksai Chin,,ASI,99,0,0,0,xAC,{28ED25C1-81AC-460D-9A2A-E8428D0B6F62},3.00741507509,12.6036256637
908,xAP,,,ASI,99,0,0,0,xAP,{1549139B-C00C-42CA-8403-675FE9BBF51B},6.25972217411,19.4169648371
909,xJK,Jammu and Kashmir,Jammu and Kashmir**,ASI,99,0,0,0,xJK,{D41FE0FC-6ED5-4D4B-89B8-480A3CBCB96B},18.3419473977,29.8297123377
910,xJL,,,ASI,99,0,0,0,xJL,{E9C67241-8DBF-43B7-A225-D8BE62EE014A},0.00757997555618,1.47527586392
911,xPI,,,ASI,99,1,1,1,xPI,{EA5BC54C-0F23-4E48-A898-20154B4E755F},0.000452120896699,0.203384065292
912,xRI,,,ASI,99,1,1,0,RUS,{B77332B2-A49C-4197-A4E9-D38DCF1CB4C4},0.212336026398,6.48276954444
913,xSI,,,ASI,99,1,1,1,xSI,{88CE0370-C5C8-44A6-B200-7565FB5B44F3},0.0346547529432,4.2862571382
914,xSK,,,ASI,99,1,1,1,JPN,{940525AF-DF75-4CF2-A212-0C7687FE9389},0.000729544673852,0.199188956047
916,xUK,,,EUR,4,0,0,0,GBR,{CAE0FA0D-A307-4B4D-BC39-04F39DCA1903},0.0250529947685,2.2598412528
917,YEM,Yemen,YEMEN,ASI,1,2,2,0,YEM,{0F71D101-88C8-440F-BAE1-EDEFC48333F3},38.2935854397,43.1255807976
918,ZAF,South Africa,SOUTH AFRICA,AFR,1,2,2,0,ZAF,{514B8A96-4E02-4589-B572-31465E4E0F47},113.12351679,81.4790506706
919,ZMB,Zambia,ZAMBIA,AFR,1,2,2,0,ZMB,{E51BEDA2-4438-421B-A407-D5A653F93298},62.731595373,56.7764948367
920,ZWE,Zimbabwe,ZIMBABWE,AFR,1,0,0,0,ZWE,{EFB54336-55B1-494F-A33D-1DCDC8B05A6F},33.5649756557,29.4903659942
